# F1 ~H4P6N12.h5,
F1_SSCAN_042_I1-Mono Energy,F1_SSCAN_042_I1-PFY[300:500],F1_SSCAN_042_I2-Mono Energy,F1_SSCAN_042_I2-TEY
386.191916179818,0.001762005037799413,386.191916179818,0.47914716486003067
386.379086120515,0.002117683016373807,386.379086120515,0.5056430068884408
386.598141129279,0.000929796625121186,386.598141129279,0.49859116792101404
386.813222480201,0.0006457167875577048,386.813222480201,0.5591323203344943
386.999391713482,0.001413325058665979,386.999391713482,0.40583782165654336
387.174966340968,0.0008827382320592872,387.174966340968,0.45450976676010435
387.385421856029,0.0014838200495965307,387.385421856029,0.45339297520749333
387.62099666136,0.0007401281826892387,387.62099666136,0.4665176159324268
387.82331947764,0.0015481215464337934,387.82331947764,0.48972106401537635
387.996796401759,0.0,387.996796401759,0.4618234101377685
388.187211145626,0.0019436067016078335,388.187211145626,0.44908694223382273
388.407088619312,0.0012417808819892573,388.407088619312,0.4787974262379012
388.606123589373,0.0005799137922775311,388.606123589373,0.463496362603839
388.783691056051,0.0005557328341691077,388.783691056051,0.47066307586758
388.976077102192,0.00013670415666898716,388.976077102192,0.4557511338229533
389.193920920856,0.0012535343585044158,389.193920920856,0.373738867458393
389.422322845143,0.00036000125290355437,389.422322845143,0.4259094486598556
389.605601405764,0.0003786822102784835,389.605601405764,0.422715223932367
389.789166347963,0.0014965921620911896,389.789166347963,0.484466554131479
389.989694286547,0.0005634947418882403,389.989694286547,0.485532821311569
390.21563261421596,0.0016228162542665102,390.21563261421596,0.4828141020716425
390.4179316771,0.001218474968214638,390.4179316771,0.45807632717937263
390.594743104819,0.001712154542194996,390.594743104819,0.4337878827494079
390.77411883527196,0.0015421921263142496,390.77411883527196,0.4737485700321001
390.995248779816,0.001521352730780944,390.995248779816,0.4723020143973164
391.215042184645,0.0005136073715724399,391.215042184645,0.4224290505728969
391.298464603185,0.00026000101779334166,391.298464603185,0.4230627330085219
391.397111273701,0.0012237184042335415,391.397111273701,0.4239983622390386
391.498548666251,0.0008723507734740899,391.498548666251,0.4590691230067625
