Energy XANES
386.0976257324219 3.315414687676821e-06
386.11761474609375 3.4361287362116855e-06
386.13763427734375 3.587428182072472e-06
386.1576232910156 3.736397957254667e-06
386.1776428222656 3.8823168324597646e-06
386.1976318359375 4.023654582852032e-06
386.2176208496094 4.159667241765419e-06
386.2376403808594 4.2897099774563685e-06
386.25762939453125 4.412696398503613e-06
386.2776184082031 4.528304543782724e-06
386.2976379394531 4.636321136786137e-06
386.317626953125 4.736211849376559e-06
386.3376159667969 4.8280926421284676e-06
386.3576354980469 4.912167241855059e-06
386.37762451171875 4.988393357052701e-06
386.39764404296875 5.057318958279211e-06
386.4176330566406 5.119137313158717e-06
386.4376525878906 5.174507350602653e-06
386.4576416015625 5.2237783165764995e-06
386.4776306152344 5.267584128887393e-06
386.4976501464844 5.3065323299961165e-06
386.51763916015625 5.341056748875417e-06
386.5376281738281 5.371751740312902e-06
386.5576477050781 5.399163910624338e-06
386.57763671875 5.42368070455268e-06
386.5976257324219 5.4457768783322535e-06
386.6176452636719 5.465872163767926e-06
386.63763427734375 5.484250323206652e-06
386.6576232910156 5.5012465054460336e-06
386.6776428222656 5.517144927580375e-06
386.6976318359375 5.532120667339768e-06
386.7176513671875 5.546407010115217e-06
386.7376403808594 5.560117642744444e-06
386.75762939453125 5.573403541347943e-06
386.77764892578125 5.5863879424578045e-06
386.7976379394531 5.599114956567064e-06
386.817626953125 5.611671440419741e-06
386.837646484375 5.6241296988446265e-06
386.8576354980469 5.636491550831124e-06
386.87762451171875 5.648807473335182e-06
386.89764404296875 5.661120212607784e-06
386.9176330566406 5.673410669260193e-06
386.9376525878906 5.685729320248356e-06
386.9576416015625 5.69804842598387e-06
386.9776611328125 5.710413461201824e-06
386.9976501464844 5.722790774598252e-06
387.01763916015625 5.7352053772774525e-06
387.03765869140625 5.747676823375514e-06
387.0576477050781 5.760169187851716e-06
387.07763671875 5.772704298578901e-06
387.09765625 5.785300345451105e-06
387.1176452636719 5.7979204939329065e-06
387.13763427734375 5.810584752907744e-06
387.15765380859375 5.823312676511705e-06
387.1776428222656 5.836066520714667e-06
387.1976623535156 5.848884939041454e-06
387.2176513671875 5.861728823219892e-06
387.2376403808594 5.8746186368807685e-06
387.2576599121094 5.887574388907524e-06
387.27764892578125 5.90055606153328e-06
387.2976379394531 5.913585482630879e-06
387.3176574707031 5.9266835705784615e-06
387.337646484375 5.939808488619747e-06
387.3576354980469 5.952981155132875e-06
387.3776550292969 5.966222488495987e-06
387.39764404296875 5.979492016194854e-06
387.4176330566406 5.992810656607617e-06
387.4376525878906 6.006200237607118e-06
387.4576721191406 6.019638021825813e-06
387.4776611328125 6.0331049098749645e-06
387.4976501464844 6.046622274880065e-06
387.5176696777344 6.060210580471903e-06
387.53765869140625 6.0738270803994965e-06
387.5576477050781 6.087494512030389e-06
387.5776672363281 6.101234248490073e-06
387.59765625 6.115002634032862e-06
387.6176452636719 6.128821951278951e-06
387.6376647949219 6.142712663859129e-06
387.65765380859375 6.156634299259167e-06
387.6776428222656 6.1706077758572064e-06
387.6976623535156 6.1846540120313875e-06
387.7176513671875 6.198729352036025e-06
387.7376708984375 6.2128797253535595e-06
387.7576599121094 6.227061476238305e-06
387.77764892578125 6.241296432563104e-06
387.79766845703125 6.255607331695501e-06
387.8176574707031 6.269949608395109e-06
387.837646484375 6.2843464547768235e-06
387.857666015625 6.298820608208189e-06
387.8776550292969 6.3133293224382214e-06
387.89764404296875 6.3278921516030096e-06
387.91766357421875 6.342534106806852e-06
387.9376525878906 6.35720971331466e-06
387.9576721191406 6.371965355356224e-06
387.9776611328125 6.386755558196455e-06
387.9976806640625 6.401625796570443e-06
388.0176696777344 6.416531505237799e-06
388.03765869140625 6.4314940573240165e-06
388.05767822265625 6.446538918680744e-06
388.0776672363281 6.461616976594087e-06
388.09765625 6.4767541516630445e-06
388.11767578125 6.491973181255162e-06
388.1376647949219 6.507228135887999e-06
388.15765380859375 6.52254129818175e-06
388.17767333984375 6.537937224493362e-06
388.1976623535156 6.553368621098343e-06
388.2176818847656 6.5688846007105894e-06
388.2376708984375 6.584435141121503e-06
388.2576599121094 6.600045253435383e-06
388.2776794433594 6.615742222493282e-06
388.29766845703125 6.631474207097199e-06
388.3176574707031 6.647269401582889e-06
388.3376770019531 6.6631496338231955e-06
388.357666015625 6.679068064840976e-06
388.3776550292969 6.69504970574053e-06
388.3976745605469 6.711118658131454e-06
388.41766357421875 6.727228083036607e-06
388.4376525878906 6.743401172570884e-06
388.4576721191406 6.759663847333286e-06
388.4776611328125 6.775966994609917e-06
388.4976806640625 6.792360181862023e-06
388.5176696777344 6.8087947511230595e-06
388.5376892089844 6.825321179348975e-06
388.55767822265625 6.841889444331173e-06
388.5776672363281 6.858523647679249e-06
388.5976867675781 6.875250619486906e-06
388.61767578125 6.892019882798195e-06
388.6376647949219 6.908857358212117e-06
388.6576843261719 6.92578760208562e-06
388.67767333984375 6.942761956452159e-06
388.69769287109375 6.959829079278279e-06
388.7176818847656 6.976938948355382e-06
388.7376708984375 6.994119758019224e-06
388.7576904296875 7.01139515513205e-06
388.7776794433594 7.0287146627379116e-06
388.79766845703125 7.046104656183161e-06
388.81768798828125 7.063592420308851e-06
388.8376770019531 7.0811247496749274e-06
388.857666015625 7.0987280196277425e-06
388.877685546875 7.116432698239805e-06
388.8976745605469 7.134183761081658e-06
388.91766357421875 7.1520066740049515e-06
388.93768310546875 7.169933724071598e-06
388.9576721191406 7.187905794125982e-06
388.9776916503906 7.205981546576368e-06
388.9976806640625 7.224105047498597e-06
389.0177001953125 7.24233314031153e-06
389.0376892089844 7.260609436343657e-06
389.05767822265625 7.2789630394254345e-06
389.07769775390625 7.297421689145267e-06
389.0976867675781 7.315930815821048e-06
389.11767578125 7.334515430557076e-06
389.1376953125 7.353207365667913e-06
389.1576843261719 7.37195023248205e-06
389.17767333984375 7.39077222533524e-06
389.19769287109375 7.4097006290685385e-06
389.2176818847656 7.4286817834945396e-06
389.2377014160156 7.4477711677900515e-06
389.2576904296875 7.466912393283565e-06
389.2776794433594 7.4861345638055354e-06
389.2976989746094 7.505468602175824e-06
389.31768798828125 7.524855845986167e-06
389.3376770019531 7.544324944319669e-06
389.3576965332031 7.563910003227647e-06
389.377685546875 7.58354872232303e-06
389.3976745605469 7.603272024425678e-06
389.4176940917969 7.623112651344854e-06
389.43768310546875 7.64300966693554e-06
389.45770263671875 7.663024916837458e-06
389.4776916503906 7.683097464905586e-06
389.4976806640625 7.703259143454488e-06
389.5177001953125 7.723539965809323e-06
389.5376892089844 7.743879905319773e-06
389.5577087402344 7.764339898130856e-06
389.57769775390625 7.78486173658166e-06
389.5976867675781 7.805472705513239e-06
389.6177062988281 7.82620827521896e-06
389.6376953125 7.847002962080296e-06
389.6576843261719 7.86788859841181e-06
389.6777038574219 7.88890065450687e-06
389.69769287109375 7.909970918262843e-06
389.71771240234375 7.931166692287661e-06
389.7377014160156 7.952423402457498e-06
389.7576904296875 7.973775609571021e-06
389.7777099609375 7.995255145942792e-06
389.7976989746094 8.016793799470179e-06
389.81768798828125 8.038430678425357e-06
389.83770751953125 8.060195796133485e-06
389.8576965332031 8.082025487965439e-06
389.877685546875 8.10395158623578e-06
389.897705078125 8.126009561237879e-06
389.9176940917969 8.148135748342611e-06
389.93768310546875 8.170360160875134e-06
389.95770263671875 8.192720997612923e-06
389.9776916503906 8.215149136958644e-06
389.9977111816406 8.237715519499034e-06
390.0177001953125 8.260351023636758e-06
390.0376892089844 8.283092029159889e-06
390.0577087402344 8.305973096867092e-06
390.07769775390625 8.328925105161034e-06
390.09771728515625 8.352018994628452e-06
390.1177062988281 8.375185643672012e-06
390.1376953125 8.398461432079785e-06
390.15771484375 8.42188183014514e-06
390.1777038574219 8.445375897281338e-06
390.19769287109375 8.46898001327645e-06
390.21771240234375 8.492732376907952e-06
390.2377014160156 8.516558409610298e-06
390.2577209472656 8.54053178045433e-06
390.2777099609375 8.56458063935861e-06
390.2976989746094 8.588745913584717e-06
390.3177185058594 8.613057616457809e-06
390.33770751953125 8.637450264359359e-06
390.3576965332031 8.66195659909863e-06
390.3777160644531 8.686617547937203e-06
390.397705078125 8.711356713320129e-06
390.4176940917969 8.736213203519583e-06
390.4377136230469 8.761228855291847e-06
390.45770263671875 8.786322723608464e-06
390.47772216796875 8.811579391476698e-06
390.4977111816406 8.836916094878688e-06
