Energy XES
355.0850830078125 4.011433247796958e-06
355.1051025390625 4.244110186846228e-06
355.1250915527344 4.5288115870789625e-06
355.1451110839844 4.7974481276469305e-06
355.16510009765625 5.0440876293578185e-06
355.1850891113281 5.2654895625892095e-06
355.2051086425781 5.459862222778611e-06
355.22509765625 5.626075108011719e-06
355.2450866699219 5.7652609939395916e-06
355.2651062011719 5.879495347471675e-06
355.28509521484375 5.971105565549806e-06
355.3050842285156 6.043392204446718e-06
355.3251037597656 6.099659003666602e-06
355.3450927734375 6.1428709159372374e-06
355.3651123046875 6.176011993375141e-06
355.3851013183594 6.201441010489361e-06
355.4051208496094 6.221275725692976e-06
355.42510986328125 6.237070465431316e-06
355.4450988769531 6.250087608350441e-06
355.4651184082031 6.261253929551458e-06
355.485107421875 6.271183337958064e-06
355.5050964355469 6.28033831162611e-06
355.5251159667969 6.289030807238305e-06
355.54510498046875 6.297428626567125e-06
355.5650939941406 6.305665920081083e-06
355.5851135253906 6.313828635029495e-06
355.6051025390625 6.321937689790502e-06
355.6250915527344 6.330029918899527e-06
355.6451110839844 6.3381339714396745e-06
355.66510009765625 6.346233021758962e-06
355.68511962890625 6.354354809445795e-06
355.7051086425781 6.362477506627329e-06
355.72509765625 6.370614755724091e-06
355.7451171875 6.37878110865131e-06
355.7651062011719 6.386949280567933e-06
355.78509521484375 6.395132459147135e-06
355.80511474609375 6.403346560546197e-06
355.8251037597656 6.411565209418768e-06
355.8450927734375 6.419801593438024e-06
355.8651123046875 6.428068445529789e-06
355.8851013183594 6.436343028326519e-06
355.9051208496094 6.444649443437811e-06
355.92510986328125 6.4529626797593664e-06
355.94512939453125 6.461306838900782e-06
355.9651184082031 6.46965736450511e-06
355.985107421875 6.478025170508772e-06
356.005126953125 6.486424808826996e-06
356.0251159667969 6.494826720881974e-06
356.04510498046875 6.5032450038415845e-06
356.06512451171875 6.511691935884301e-06
356.0851135253906 6.520141596411122e-06
356.1051025390625 6.5286067183478735e-06
356.1251220703125 6.537100489367731e-06
356.1451110839844 6.545596988871694e-06
356.1651306152344 6.554122137458762e-06
356.18511962890625 6.5626481955405325e-06
356.2051086425781 6.5711915340216365e-06
356.2251281738281 6.579762157343794e-06
356.2451171875 6.5883341449080035e-06
356.2651062011719 6.596920684387442e-06
356.2851257324219 6.605535872949986e-06
356.30511474609375 6.614154244743986e-06
356.3251037597656 6.622788987442618e-06
356.3451232910156 6.631455107708462e-06
356.3651123046875 6.640126230195165e-06
356.3851013183594 6.6488182710600086e-06
356.4051208496094 6.657543053734116e-06
356.4251403808594 6.6662896642810665e-06
356.44512939453125 6.67504309603828e-06
356.4651184082031 6.683817900920985e-06
356.4851379394531 6.692626811855007e-06
356.505126953125 6.701442543999292e-06
356.5251159667969 6.710277375532314e-06
356.5451354980469 6.719143129885197e-06
356.56512451171875 6.72801434120629e-06
356.5851135253906 6.736901923432015e-06
356.6051330566406 6.7458204284776e-06
356.6251220703125 6.75474120725994e-06
356.6451416015625 6.76369290886214e-06
356.6651306152344 6.7726468842010945e-06
356.68511962890625 6.781618139939383e-06
356.70513916015625 6.7906189542554785e-06
356.7251281738281 6.799622042308329e-06
356.7451171875 6.808641501265811e-06
356.76513671875 6.817692337790504e-06
356.7851257324219 6.826745448051952e-06
356.80511474609375 6.835816293460084e-06
356.82513427734375 6.8449189711827785e-06
356.8451232910156 6.854028015368385e-06
356.8651123046875 6.86315661369008e-06
356.8851318359375 6.872321591799846e-06
