Energy XAS
386.0850830078125 3.233175220884732e-06
386.1051025390625 3.352391559019452e-06
386.1250915527344 3.5000518892047694e-06
386.1451110839844 3.64591573998041e-06
386.16510009765625 3.788386948144762e-06
386.1850891113281 3.926620593119878e-06
386.2051086425781 4.059857928950805e-06
386.22509765625 4.1868652260745876e-06
386.2450866699219 4.307166364014847e-06
386.2651062011719 4.420403001859086e-06
386.28509521484375 4.525861186266411e-06
386.3050842285156 4.623510903911665e-06
386.3251037597656 4.7134203668974806e-06
386.3450927734375 4.7953935791156255e-06
386.3651123046875 4.869883014180232e-06
386.3851013183594 4.936968252877705e-06
386.4051208496094 4.997249106963864e-06
386.42510986328125 5.050999789091293e-06
386.4450988769531 5.09881920152111e-06
386.4651184082031 5.1413048822723795e-06
386.485107421875 5.178872925171163e-06
386.5050964355469 5.212129508436192e-06
386.5251159667969 5.241643066256074e-06
386.54510498046875 5.2678205975098535e-06
386.5650939941406 5.2911755119566806e-06
386.5851135253906 5.31216164745274e-06
386.6051025390625 5.331099600880407e-06
386.6250915527344 5.348366357793566e-06
386.6451110839844 5.3642811508325394e-06
386.66510009765625 5.37905543751549e-06
386.68511962890625 5.392953880800633e-06
386.7051086425781 5.406123364082305e-06
386.72509765625 5.418736691353843e-06
386.7451171875 5.430940746009583e-06
386.7651062011719 5.442802375910105e-06
386.78509521484375 5.454421625472605e-06
386.80511474609375 5.4658835324516986e-06
386.8251037597656 5.477204467752017e-06
386.8450927734375 5.488443548529176e-06
386.8651123046875 5.499647159012966e-06
386.8851318359375 5.51082212041365e-06
386.9051208496094 5.5219702517206315e-06
386.92510986328125 5.5331211115117185e-06
386.94512939453125 5.5443038036173675e-06
386.9651184082031 5.55548831471242e-06
386.985107421875 5.566698746406473e-06
387.005126953125 5.577956017077668e-06
387.0251159667969 5.589226930169389e-06
387.04510498046875 5.600531949312426e-06
387.06512451171875 5.611888809653465e-06
387.0851135253906 5.62326431463589e-06
387.1051025390625 5.634676654153736e-06
387.1251220703125 5.646143563353689e-06
387.1451110839844 5.657630026689731e-06
387.1651306152344 5.669173333444633e-06
387.18511962890625 5.680736194335623e-06
387.2051086425781 5.692337708751438e-06
387.2251281738281 5.7039960665861145e-06
387.2451171875 5.7156753427989315e-06
387.2651062011719 5.7273950915259775e-06
387.2851257324219 5.7391707741771825e-06
387.30511474609375 5.750971013185335e-06
387.3251037597656 5.762809450970963e-06
387.3451232910156 5.774707460659556e-06
387.3651123046875 5.786628662463045e-06
387.3851318359375 5.798608981422149e-06
387.4051208496094 5.810612037748797e-06
387.4251403808594 5.822676030220464e-06
387.44512939453125 5.8347613958176225e-06
387.4651184082031 5.846890417160466e-06
387.4851379394531 5.859078555658925e-06
387.505126953125 5.871290795766981e-06
387.5251159667969 5.88354532737867e-06
387.5451354980469 5.895861249882728e-06
387.56512451171875 5.908199455006979e-06
387.5851135253906 5.920582225371618e-06
387.6051330566406 5.9330241128918715e-06
387.6251220703125 5.945491466263775e-06
387.6451416015625 5.9580215747701e-06
387.6651306152344 5.9705739658966195e-06
387.68511962890625 5.983170012768824e-06
387.70513916015625 5.995830179017503e-06
387.7251281738281 6.008515811117832e-06
387.7451171875 6.0212450989638455e-06
387.76513671875 6.0340380514389835e-06
387.7851257324219 6.046855560271069e-06
387.80511474609375 6.059718998585595e-06
387.82513427734375 6.0726492847607005e-06
387.8451232910156 6.085605946282158e-06
387.8651123046875 6.0986076277913526e-06
387.8851318359375 6.111675702413777e-06
387.9051208496094 6.124771516624605e-06
387.9251403808594 6.137935542938067e-06
387.94512939453125 6.1511254898505285e-06
387.96514892578125 6.164384558360325e-06
387.9851379394531 6.177670911711175e-06
388.005126953125 6.19100592302857e-06
388.025146484375 6.204407327459194e-06
388.0451354980469 6.2178382904676255e-06
388.06512451171875 6.2313170019479e-06
388.08514404296875 6.244864380278159e-06
388.1051330566406 6.258440862438874e-06
388.1251220703125 6.272064638324082e-06
388.1451416015625 6.285759809543379e-06
388.1651306152344 6.299482265603729e-06
388.1851501464844 6.313275662250817e-06
388.20513916015625 6.327096343738958e-06
388.2251281738281 6.340967956930399e-06
388.2451477050781 6.354910965455929e-06
388.26513671875 6.3688830778119154e-06
388.2851257324219 6.3829052123764995e-06
388.3051452636719 6.397001470759278e-06
388.32513427734375 6.411127287719864e-06
388.3451232910156 6.425306310120504e-06
388.3651428222656 6.439559001591988e-06
388.3851318359375 6.453842161135981e-06
388.4051513671875 6.468200808740221e-06
388.4251403808594 6.482591743406374e-06
388.44512939453125 6.497035883512581e-06
388.46514892578125 6.5115564211737365e-06
388.4851379394531 6.526111064886209e-06
388.5051574707031 6.540741196658928e-06
388.525146484375 6.555404070240911e-06
388.5451354980469 6.570122877747053e-06
388.5651550292969 6.584919447050197e-06
388.58514404296875 6.599748758162605e-06
388.6051330566406 6.614634003199171e-06
388.6251525878906 6.6295970100327395e-06
388.6451416015625 6.644593213422922e-06
388.6651611328125 6.659669452346861e-06
388.6851501464844 6.674778433080064e-06
388.70513916015625 6.689944711979479e-06
388.72515869140625 6.705191026412649e-06
388.7451477050781 6.720470537402434e-06
388.76513671875 6.735808256053133e-06
388.78515625 6.751228738721693e-06
388.8051452636719 6.766683327441569e-06
388.82513427734375 6.7821956690750085e-06
388.84515380859375 6.7977925937157124e-06
388.8651428222656 6.8134249886497855e-06
388.8851318359375 6.8291178649815265e-06
388.9051513671875 6.844894414825831e-06
388.9251403808594 6.860710527689662e-06
388.9451599121094 6.876611223560758e-06
388.96514892578125 6.89255102770403e-06
388.9851379394531 6.908552222739672e-06
389.0051574707031 6.9246407292666845e-06
389.025146484375 6.940768344065873e-06
389.045166015625 6.956984179851133e-06
389.0651550292969 6.973238669161219e-06
389.08514404296875 6.98955727784778e-06
389.10516357421875 7.005965471762465e-06
389.1251525878906 7.022412319201976e-06
389.1451416015625 7.0389241955126636e-06
